2 combinaisons libres,
4 combinaisons fixes,
5 combinaisons ajustables,
5 combinaisons fixes,
accouplement ii/i,
accouplement positif / grand-orgue,
accouplement positif/grand orgue,
accouplement ra(c)cit / positif,
anches,
anches bombarde,
anches echo,
anches go,
"anches grand-cha""ur",
anches grand-orgue,
anches pa(c)dale,
anches positif,
anches ra(c)cit,
annulateur anches,
annulateur anches grand-orgue,
annulateur anches pa(c)dale,
annulateur anches positif,
annulateur anches ra(c)cit,
annulateur mixtures grand-orgue,
annulateur mixtures positif,
annulateur mixtures ra(c)cit,
annulateur ra(c)cit 8,
appel / retrait trompette 8,
appel anches,
appel anches et mixture pa(c)dale,
appel anches grand-orgue,
appel anches ra(c)cit,
appel bombarde,
appel bourdon,
appel chamade,
appel clairon,
appel combinaison ajustable,
appel cornet,
appel cornet positif,
appel fonds,
appel fonds 8,
appel fonds de 8,
appel forte ga(c)na(c)ral,
appel grand jeu,
"appel grand jeu grand-cha""ur",
appel grand jeu grand-orgue,
appel grand jeu pa(c)dale,
appel grand jeu ra(c)cit,
appel grand plein-jeu,
appel grand-orgue,
appel mixtures,
appel prestant,
appel principal 16 pa(c)dale,
appel registration,
appel soubasse pa(c)dale (= montre 16 grand-orgue),
appel trompette,
appel tutti,
appel tutti fonds,
appel tutti mixtures,
appel-renvoi anches,
appel-renvoi plein-jeu,
appel-renvoi prestant+doublette,
appel-retrait anches,
appel-retrait anches grand-orgue,
appel-retrait anches ra(c)cit,
appel-retrait bombarde,
appel-retrait chamade,
appel-retrait plein jeu positif,
appel-retrait plein-jeu grand-orgue,
appel-retrait trompette grand-orgue,
appel/renvoi forte,
appel/renvoi trompette,
bombarde / grand-orgue,
bombarde / positif,
bombarde / ra(c)cit,
bombarde pa(c)dale,
chamade / grand-orgue,
chamade / ra(c)cit,
chamades / grand-orgue,
chamades / positif,
chamades / solo,
combinaison ajustable,
"combinaison fixe : grand cha""ur",
combinaison fixe : hautbois,
combinaison fixe : jeux de fonds,
combinaison fixe : voix ca(c)leste,
combinaison fixe : voix humaine,
combinaison libre,
combinateur,
combinateur informatique,
combinateur sa(c)quenciel,
copula (8),
crescendo,
crescendo programmable,
deux boutons de ra(c)glage ma(c)canique des claviers,
echo / grand-orgue,
echo / positif,
echo / ra(c)cit,
expression,
expression par pa(c)dale centrale basculante,
expression ra(c)cit,
fonds 8,
fonds 8 et 4,
"fonds 8 grand-orgue et grand-cha""ur",
fonds et mutations,
fonds et petites mixtures,
fonds pa(c)dale,
"genouilla""re dexpression",
"grand-cha""ur / grand-orgue",
"grand-cha""ur / grand-orgue 4",
grand-orgue / positif,
grand-orgue / ra(c)cit,
grand-orgue 4,
grand-orgue/ra(c)sonnance,
ii/i (16/8/4),
ii/i (4),
ii/i (8),
ii/ii (16/8/4),
mixtures bombarde,
mixtures grand-orgue,
mixtures pa(c)dale,
mixtures positif,
mixtures ra(c)cit,
oberwerk / hauptwerk,
octave aiga 1/4 e pa(c)dalier,
octave aigua<<,
octave aigua<< grand-orgue,
octave aigua<< par tirette sous le clavier,
octave aigua<< ra(c)cit,
octave grave,
"octave grave grand-cha""ur",
octave grave grand-orgue,
octave grave ra(c)cit,
octave grave ra(c)cit / grand-orgue,
orage,
pa(c)dale automatique,
pa(c)dale dexpression,
positif / grand orgue,
positif / grand-orgue,
positif / grand-orgue 16,
positif / grand-orgue 4,
positif / grand-orgue 8,
positif / ra(c)sonnance,
positif /grand-orgue,
positif-coffre extractible,
positif/grand-orgue,
ra(c)cit / grand orgue,
"ra(c)cit / grand-cha""ur",
ra(c)cit / grand-orgie,
ra(c)cit / grand-orgue,
ra(c)cit / grand-orgue 16,
ra(c)cit / grand-orgue 4,
ra(c)cit / grand-orgue 8,
ra(c)cit / positif,
ra(c)cit / positif 16,
ra(c)cit / positif 4,
ra(c)cit / positif 8,
ra(c)cit / ra(c)cit 16,
ra(c)cit / ra(c)cit 4,
ra(c)cit /grand-orgue,
ra(c)cit 16,
ra(c)cit 4,
ra(c)cit 4 / grand-orgue,
ra(c)cit/grand-orgue,
ra(c)cit/positif,
ra(c)sonance / grand-orgue,
ra(c)sonance / positif,
renvoi anches grand-orgue,
renvoi ga(c)na(c)ral,
retrait anches,
retrait anches ra(c)cit,
rossignol,
schwellwerk / hauptwerk,
solo / grand orgue,
solo / grand-orgue,
solo/ grand-orgue,
solo/ positif,
solo/ ra(c)cit,
tir. i/p,
tir. ii/p,
tirasse,
tirasse 1er clavier 4,
tirasse 1er clavier 8,
tirasse bombarde,
tirasse chamade,
tirasse chamades,
tirasse chamades 4,
tirasse echo,
tirasse go,
tirasse grand orgue,
"tirasse grand-cha""ur",
tirasse grand-orgue,
tirasse grand-orgue 4,
tirasse grand-orgue 8,
tirasse hauptwerk,
tirasse i,
tirasse ii,
tirasse positif,
tirasse positif 4,
tirasse positif fixe,
tirasse ra(c)cit,
tirasse ra(c)cit 16,
tirasse ra(c)cit 4,
tirasse ra(c)cit 8,
tirasse ra(c)sonance,
tirasse ra(c)sonance 4,
tirasse schwellwerk,
tirasse solo,
tirasses : pa(c)dalier sur positif et sur grand orgue,
tra(c)molo,
"tra(c)molo grand-cha""ur",
tra(c)molo positif,
tra(c)molo ra(c)cit,
transpositeur,
transpositeur -2 / +1 demi-tons,
tremblant,
tremblant doux,
tremblant doux grand-orgue,
tremblant doux positif,
tremblant doux ra(c)cit,
tremblant doux ra(c)sonance,
tremblant doux ra(c)sonnance et ra(c)cit,
tremblant fort,
tremblant fort grand-orgue et ra(c)sonnance,
tremblant go + ra(c)cit,
tremblant grand orgue,
tremblant grand-orgue,
tremblant positif,
tremblant ra(c)cit,
tremblant schwellwerk,
tremblant solo,
tremolo ra(c)cit,
tremulant,
tutti,
tutti anches,
tutti bombarde,
tutti copulas,
tutti ga(c)na(c)ral,
tutti grand-orgue,
tutti mixtures,
tutti pa(c)dale,
tutti positif,
tutti ra(c)cit,
tutti tirasses,
