(deux jeux en attente),,
(pas de jeu propre),,
(sans jeu propre),,
(un jeu en attente),,
soubasse,16,
soubasse,32,
soubasse acoustique,32,
sous-basse,8,
spitzflaPte,2,
spitzflaPte,8,
spitzflaPte,4,
subbaaza2,16,
subbas,16,
subbass,16,
tercian,II,
terz,1 3/5,
tierce,,
tierce,2,
tierce,1 3/5,
tierce,8,
tierce,1 1/3,
tiercelette,1 3/5,
tiercyne,1 3/5,
tiertia,1 3/5,
tirasse fixe,,
tremblant,,
trommete,8,
trompete,8,
trompete royale,8,
trompette,16,
trompette,8,
trompette chamade,8,
trompette de bataille,8,
trompette en chamade,8,
trompette harmonique,8,
trompette royale,4/8,
tuba harmonique,8,
unda maris,8,
unda maris,4,
viola,4,
viola da gamba,8,
viola de gambe,8,
viola di gamba,8,
viole,4,
viole,8,
viole d'amour,8,
viole de gambe,8,
violonbasse,8,
violoncelle,8,
violoncelle,16,
voce umana,8,
voix ca(c)leste,8,
voix celeste,8,
voix humaine,8,
vox humana,8,
wald flute,4,
waldflaPte,2,
